date,portfolio_value,cash,position_value,sip_value,num_positions,num_sip_positions,total_trades,current_position_size,total_self_dividend
2023-11-28,1498548.8340630126,49803.47654494614,205119.17372285688,1243626.1837952095,17,32,316,14610.290512314765,100870.31096108703
2023-11-29,1510819.773655536,49803.47654494614,206916.56856368142,1254099.7285469084,17,32,316,14610.290512314765,100870.31096108703
2023-11-30,1520403.3595464726,49803.47654494614,206882.91417796255,1263716.9688235638,17,32,316,14610.290512314765,100870.31096108703
2023-12-01,1526312.2086769924,49803.47654494614,208006.17951458716,1268502.552617459,17,32,316,14610.290512314765,100870.31096108703
2023-12-04,1547717.6613351642,49803.47654494614,210936.40147916708,1286977.783311051,17,32,316,14610.290512314765,100870.31096108703
2023-12-05,1550368.901019665,64962.38950049049,195989.04574981937,1289417.4657693552,16,32,317,14630.888488083976,101220.47654916362
2023-12-06,1555115.3948493218,64962.38950049049,197889.89855280222,1292263.106796029,16,32,317,14630.888488083976,101220.47654916362
2023-12-07,1552540.4241350081,64962.38950049049,197220.049443715,1290357.9851908027,16,32,317,14630.888488083976,101220.47654916362
2023-12-08,1554870.1377886897,64962.38950049049,197647.16545864448,1292260.5828295548,16,32,317,14630.888488083976,101220.47654916362
2023-12-11,1558398.5383319187,64962.38950049049,198202.07080104898,1295234.0780303793,16,32,317,14630.888488083976,101220.47654916362
2023-12-12,1557676.1629497486,59809.99047632727,198235.29997637222,1299630.8724970492,16,32,317,14630.888488083976,101220.47654916362
2023-12-13,1559466.898480658,59809.99047632727,197990.70624557475,1301666.2017587558,16,32,317,14630.888488083976,101220.47654916362
2023-12-14,1579820.007346676,59809.99047632727,200645.549900634,1319364.4669697147,16,32,317,14630.888488083976,101220.47654916362
2023-12-15,1597852.3937164391,74883.71550446107,188890.47226611397,1334078.205945864,15,32,318,14662.552993045603,101727.10862854967
2023-12-18,1596916.6051950168,74883.71550446107,188886.00719819087,1333146.8824923648,15,32,318,14662.552993045603,101727.10862854967
2023-12-19,1599197.1750181457,60221.16251141547,203304.1833988678,1335671.8291078624,16,32,318,14662.552993045603,101727.10862854967
2023-12-20,1569582.3734106896,60221.16251141547,200065.9676938004,1309295.2432054738,16,32,318,14662.552993045603,101727.10862854967
2023-12-21,1575742.686067491,60221.16251141547,201218.13685795647,1314303.386698119,16,32,318,14662.552993045603,101727.10862854967
2023-12-22,1595615.2810914572,45558.60951836986,218359.25180049578,1331697.4197725917,17,32,318,14662.552993045603,101727.10862854967
2023-12-26,1605320.7726719566,59832.3041404868,205349.5749222737,1340138.8936091962,16,32,319,14683.260772976084,102079.14088736786
2023-12-27,1623375.6008618819,75067.66988308252,191159.78271887248,1357148.1482599268,15,32,320,14707.535271826226,102467.53286897014
2023-12-28,1635621.1605066073,90237.3260604699,176651.42233691973,1368732.4121092176,14,32,321,14731.711029096674,102830.16922802688
2023-12-29,1634926.6103422006,90237.3260604699,176337.5300448377,1368351.754236893,14,32,321,14731.711029096674,102830.16922802688
2024-01-01,1636678.1434996175,90237.3260604699,176982.25099940502,1369458.5664397425,14,32,321,14731.711029096674,102830.16922802688
2024-01-02,1635118.1615385725,75505.61503137322,191136.0642633336,1368476.4822438657,15,32,321,14731.711029096674,102830.16922802688
2024-01-03,1623217.5592907686,75505.61503137322,188991.97297407914,1358719.9712853162,15,32,321,14731.711029096674,102830.16922802688
2024-01-04,1629768.7781539583,60773.90400227655,204170.977189333,1364823.8969623488,16,32,321,14731.711029096674,102830.16922802688
2024-01-05,1634669.3708908553,60773.90400227655,205166.6187237922,1368728.8481647866,16,32,321,14731.711029096674,102830.16922802688
2024-01-08,1622034.8803384565,46042.192973179874,216917.9549621764,1359074.7324031002,17,32,321,14731.711029096674,102830.16922802688
